          ,close ,high   ,low    ,p_change,open   ,pre_close,volume  ,date    ,date_week,atr21             ,atr14             ,key
2017-06-12,149.97,151.7  ,142.11 ,0.247   ,145.88 ,149.6    ,42438280,20170612,0        ,9.589999999999975 ,9.589999999999975 ,0
2017-06-13,151.4 ,154.77 ,145.65 ,0.954   ,154.4  ,149.97   ,41812580,20170613,1        ,9.343809523809515 ,9.338214285714276 ,1
2017-06-14,151.72,154.06 ,148.5  ,0.211   ,151.52 ,151.4    ,29616036,20170614,2        ,7.960604229607246 ,7.894923599320879 ,2
2017-06-15,152.37,153.6  ,146.5  ,0.428   ,146.96 ,151.72   ,24095612,20170615,3        ,7.713790131437186 ,7.6517340464104375,3
2017-06-16,151.62,154.7  ,150.24 ,-0.492  ,152.76 ,152.37   ,23123950,20170616,4        ,6.933479549884514 ,6.8190155173391105,4
2017-06-19,157.32,157.53 ,153.26 ,3.759   ,153.41 ,151.62   ,19454439,20170619,0        ,6.563294101179289 ,6.435148904234968 ,5
2017-06-20,157.09,161.74 ,156.92 ,-0.146  ,159.03 ,157.32   ,27386086,20170620,1        ,7.227445876120494 ,7.21162515813166  ,6
2017-06-21,159.47,159.62 ,155.7  ,1.515   ,158.21 ,157.09   ,17066279,20170621,2        ,6.663845018910248 ,6.567831746933222 ,7
2017-06-22,158.37,160.34 ,157.4  ,-0.69   ,159.8  ,159.47   ,11728324,20170622,3        ,6.124952392183118 ,5.956941798211779 ,8
2017-06-23,153.83,159.32 ,153.22 ,-2.867  ,158.68 ,158.37   ,27214702,20170623,4        ,6.143453230649733 ,6.008292526429705 ,9
2017-06-26,152.15,156.6  ,148.33 ,-1.092  ,155.16 ,153.83   ,26598996,20170626,0        ,6.688839215790668 ,6.686339431141793 ,10
2017-06-27,146.58,151.79 ,146.35 ,-3.661  ,151.44 ,152.15   ,24987313,20170627,1        ,6.7943968334887686,6.815321729626095 ,11
2017-06-28,151.75,151.94 ,145.75 ,3.527   ,149.32 ,146.58   ,24873679,20170628,2        ,6.743921738946002 ,6.749739281023164 ,12
2017-06-29,146.68,150.72 ,144.08 ,-3.341  ,150.6  ,151.75   ,26610631,20170629,3        ,6.731097208424655 ,6.732826242061069 ,13
2017-06-30,144.56,147.93 ,143.5  ,-1.445  ,147.38 ,146.68   ,18276526,20170630,4        ,6.91263892363664  ,6.961891798422802 ,14
2017-07-03,139.33,145.65 ,138.58 ,-3.618  ,145.05 ,144.56   ,17726820,20170703,0        ,7.050606633032423 ,7.130745372834789 ,15
2017-07-05,143.05,144.22 ,141.13 ,2.67    ,141.9  ,139.33   ,20504738,20170705,2        ,6.640279549502232 ,6.589820422430292 ,16
2017-07-06,143.48,145.38 ,139.76 ,0.301   ,141.87 ,143.05   ,18657132,20170706,3        ,6.574849625280356 ,6.511916520421538 ,17
2017-07-07,146.76,147.5  ,144.85 ,2.286   ,145.78 ,143.48   ,16374302,20170707,4        ,6.343923154215037 ,6.217584221187751 ,18
2017-07-10,153.7 ,154.0  ,148.68 ,4.729   ,149.74 ,146.76   ,23962269,20170710,0        ,6.7898508081488735,6.826013440386376 ,19
2017-07-11,155.88,156.19 ,152.15 ,1.418   ,153.85 ,153.7    ,18948883,20170711,1        ,7.067365025704158 ,7.19130563872047  ,20
2017-07-12,162.58,163.0  ,156.61 ,4.298   ,158.2  ,155.88   ,28630213,20170712,2        ,7.29875747187692  ,7.485076018446876 ,21
2017-07-13,160.63,166.3  ,158.75 ,-1.199  ,163.0  ,162.58   ,34228333,20170713,3        ,7.618179225634427 ,7.891520887156754 ,22
2017-07-14,164.95,165.01 ,161.01 ,2.689   ,161.29 ,160.63   ,23548708,20170714,4        ,7.252086008716413 ,7.355363524777482 ,23
2017-07-17,164.25,167.5  ,161.75 ,-0.424  ,166.33 ,164.95   ,23269759,20170717,0        ,7.213819027815443 ,7.288787941091066 ,24
2017-07-18,165.96,166.55 ,161.3  ,1.041   ,161.78 ,164.25   ,19415987,20170718,1        ,7.018938485090308 ,7.010202516236008 ,25
2017-07-19,165.1 ,167.4  ,164.61 ,-0.518  ,166.33 ,165.96   ,17176140,20170719,2        ,6.638172886447173 ,6.484473955352951 ,26
2017-07-20,167.5 ,167.51 ,163.91 ,1.454   ,165.93 ,165.1    ,17489889,20170720,3        ,6.341395836628085 ,6.0927515726838015,27
2017-07-21,168.1 ,169.3  ,166.09 ,0.358   ,166.67 ,167.5    ,16208257,20170721,4        ,6.133625786769324 ,5.836342247602285 ,28
2017-07-24,166.15,168.78 ,165.72 ,-1.16   ,168.39 ,168.1    ,16313052,20170724,0        ,5.837218593250778 ,5.461035264414535 ,29
2017-07-25,165.35,165.93 ,163.58 ,-0.481  ,165.22 ,166.15   ,12413896,20170725,1        ,5.7108898890669   ,5.334060293416087 ,30
2017-07-26,167.26,169.927,165.85 ,1.155   ,167.68 ,165.35   ,16010113,20170726,2        ,5.554969683089769 ,5.16471428560891  ,31
2017-07-27,161.74,168.74 ,157.56 ,-3.3    ,168.27 ,167.26   ,19571379,20170727,3        ,6.089344527256461 ,5.973950087898129 ,32
2017-07-28,164.39,165.38 ,159.28 ,1.638   ,160.29 ,161.74   ,12833737,20170728,4        ,6.2682240932452045,6.243501250841307 ,33
2017-07-31,162.51,166.4  ,160.62 ,-1.144  ,164.94 ,164.39   ,13991802,20170731,0        ,6.222202445735182 ,6.181285437640977 ,34
2017-08-01,164.49,164.56 ,161.0  ,1.218   ,162.125,162.51   ,10784578,20170801,1        ,5.9720932118742365,5.8297453103137435,35
2017-08-02,164.39,165.91 ,161.27 ,-0.061  ,165.75 ,164.49   ,11961082,20170802,2        ,5.847324589746564 ,5.670312574711818 ,36
2017-08-03,166.48,166.63 ,163.68 ,1.271   ,164.37 ,164.39   ,11060541,20170803,3        ,5.576696233169796 ,5.3060199588143275,37
2017-08-04,167.21,170.07 ,166.48 ,0.438   ,167.4  ,166.48   ,14727353,20170804,4        ,5.5863214192748005,5.356072615156321 ,38
2017-08-07,172.35,172.37 ,168.0  ,3.074   ,168.39 ,167.21   ,17935280,20170807,0        ,5.614552322761296 ,5.427496238976162 ,39
2017-08-08,170.3 ,174.56 ,168.71 ,-1.189  ,173.89 ,172.35   ,18883354,20170808,1        ,5.775554225671321 ,5.6845578083021895,40
2017-08-09,172.11,172.21 ,167.67 ,1.063   ,168.43 ,170.3    ,13269623,20170809,2        ,5.674105913276813 ,5.550287333177998 ,41
2017-08-10,164.74,172.66 ,164.33 ,-4.282  ,172.16 ,172.11   ,33202199,20170810,3        ,5.919626533072279 ,5.921705463257415 ,42
2017-08-11,155.96,159.0  ,152.91 ,-5.33   ,157.14 ,164.74   ,37429859,20170811,4        ,7.145432005575239 ,7.695413428473322 ,43
2017-08-14,168.4 ,168.55 ,159.2  ,7.976   ,159.67 ,155.96   ,31975541,20170814,0        ,7.348635063632507 ,7.916377883496241 ,44
2017-08-15,166.98,169.67 ,165.59 ,-0.843  ,168.61 ,168.4    ,19113263,20170815,1        ,7.934244696681756 ,8.689931579088642 ,45
2017-08-16,165.15,168.54 ,163.84 ,-1.096  ,167.59 ,166.98   ,14915786,20170816,2        ,7.636850539549071 ,8.157301741578149 ,46
2017-08-17,161.47,165.5  ,161.38 ,-2.228  ,164.81 ,165.15   ,13136065,20170817,3        ,7.449753819142495 ,7.815973303040841 ,47
2017-08-18,161.5 ,164.36 ,159.64 ,0.019   ,163.67 ,161.47   ,15030107,20170818,4        ,7.2717445436006924,7.508232904133753 ,48
2017-08-21,159.15,162.95 ,157.37 ,-1.455  ,162.49 ,161.5    ,15591767,20170821,0        ,7.116628218723786 ,7.250934254792546 ,49
2017-08-22,162.55,162.79 ,159.71 ,2.136   ,160.49 ,159.15   ,11261403,20170822,1        ,6.746798000953636 ,6.694433050588928 ,50
2017-08-23,165.8 ,166.25 ,160.85 ,1.999   ,161.2  ,162.55   ,14487996,20170823,2        ,6.779134929614892 ,6.748540380776672 ,51
2017-08-24,165.19,167.28 ,164.12 ,-0.368  ,167.1  ,165.8    ,11742501,20170824,3        ,6.591650011226589 ,6.479264777681263 ,52
2017-08-25,163.81,166.58 ,163.55 ,-0.835  ,166.17 ,165.19   ,8930022 ,20170825,4        ,6.265968740067927 ,6.019160099885965 ,53
2017-08-28,164.97,165.1  ,162.33 ,0.708   ,164.58 ,163.81   ,9737393 ,20170828,0        ,5.954688749384062 ,5.5977778586755855,54
2017-08-29,164.7 ,165.58 ,162.26 ,-0.164  ,162.59 ,164.97   ,8102357 ,20170829,1        ,5.714014307265558 ,5.293973610624896 ,55
2017-08-30,165.68,166.13 ,164.27 ,0.595   ,165.5  ,164.7    ,9610039 ,20170830,2        ,5.362111073202409 ,4.835979112693136 ,56
2017-08-31,169.44,169.6  ,166.2  ,2.269   ,166.5  ,165.68   ,15317105,20170831,3        ,5.319933362807595 ,4.844517353217735 ,57
2017-09-01,170.46,171.9  ,169.6  ,0.602   ,169.95 ,169.44   ,11135787,20170901,4        ,5.402054280571024 ,5.027954554358093 ,58
2017-09-05,165.91,168.58 ,163.56 ,-2.669  ,168.38 ,170.46   ,17417392,20170905,1        ,5.445647061904423 ,5.141581827074282 ,59
2017-09-06,165.81,167.8  ,164.4  ,-0.06   ,167.24 ,165.91   ,9941783 ,20170906,2        ,5.501664580523697 ,5.264057399974249 ,60
2017-09-07,166.58,167.89 ,164.95 ,0.464   ,166.49 ,165.81   ,8821702 ,20170907,3        ,5.268152165861352 ,4.954139621323593 ,61
2017-09-08,163.69,166.71 ,162.71 ,-1.735  ,166.11 ,166.58   ,12471422,20170908,4        ,5.152580429657132 ,4.826905542447297 ,62
2017-09-11,168.93,169.43 ,165.33 ,3.201   ,165.61 ,163.69   ,14186078,20170911,0        ,5.05667616717061  ,4.7299745941434175,63
2017-09-12,169.61,169.78 ,166.99 ,0.403   ,169.78 ,168.93   ,10287203,20170912,1        ,5.150806655232821 ,4.911327869248804 ,64
2017-09-13,170.37,171.54 ,167.28 ,0.448   ,168.59 ,169.61   ,14504223,20170913,2        ,5.069673821089412 ,4.824477282491937 ,65
2017-09-14,169.4 ,172.56 ,167.95 ,-0.569  ,168.68 ,170.37   ,12842837,20170914,3        ,5.027814744706869 ,4.795878350662483 ,66
2017-09-15,180.44,180.1  ,172.71 ,6.517   ,172.88 ,169.4    ,34119764,20170915,4        ,5.45594208099531  ,5.453800331837531 ,67
2017-09-18,187.59,191.19 ,184.87 ,3.963   ,185.17 ,180.44   ,42111516,20170918,0        ,6.942927586821271 ,7.632072465302489 ,68
2017-09-19,187.34,189.85 ,184.68 ,-0.133  ,185.54 ,187.59   ,21856994,20170919,1        ,7.16749124598583  ,7.869140050733658 ,69
2017-09-20,185.84,189.42 ,184.21 ,-0.801  ,187.5  ,187.34   ,17419580,20170920,2        ,6.989332414745233 ,7.514574328983188 ,70
2017-09-21,180.94,182.68 ,177.61 ,-2.637  ,181.51 ,185.84   ,26889994,20170921,3        ,7.238745016141248 ,7.809974321324746 ,71
2017-09-22,179.0 ,182.31 ,178.6  ,-1.072  ,180.3  ,180.94   ,12263212,20170922,4        ,7.2388592142237185,7.733975537095333 ,72
2017-09-25,171.0 ,177.8  ,170.16 ,-4.469  ,177.75 ,179.0    ,21828096,20170925,0        ,7.561059759307455 ,8.140122358906833 ,73
2017-09-26,172.48,178.65 ,170.38 ,0.865   ,176.38 ,171.0    ,1255940 ,20170926,1        ,7.657402801531903 ,8.204107440708386 ,74
2017-09-27,175.75,176.27 ,172.78 ,1.896   ,175.61 ,172.48   ,892024  ,20170927,2        ,7.440210944700626 ,7.81288571612687  ,75
2017-09-28,175.77,176.08 ,173.82 ,0.011   ,176.08 ,175.75   ,645304  ,20170928,3        ,7.0908738681918555,7.2511584132495805,76
2017-09-29,178.68,179.71 ,177.26 ,1.656   ,179.36 ,175.77   ,610435  ,20170929,4        ,6.8060807423947125,6.812331057624087 ,77
2017-10-02,178.9 ,181.97 ,177.01 ,0.123   ,181.11 ,178.68   ,642465  ,20171002,0        ,6.75095288918443  ,6.730685911423142 ,78
2017-10-03,179.42,180.55 ,177.6  ,0.291   ,179.3  ,178.9    ,396212  ,20171003,1        ,6.4052429467382686,6.226589077815851 ,79
2017-10-04,180.81,181.74 ,178.15 ,0.775   ,179.45 ,179.42   ,498100  ,20171004,2        ,6.149198135713225 ,5.87504061653184  ,80
2017-10-05,180.72,181.9  ,179.58 ,-0.05   ,181.89 ,180.81   ,504554  ,20171005,3        ,5.815500035201395 ,5.4223649063981005,81
2017-10-06,181.29,181.83 ,179.02 ,0.315   ,179.11 ,180.72   ,501782  ,20171006,4        ,5.542172507860564 ,5.0740471661914945,82
2017-10-09,185.41,186.72 ,182.05 ,2.273   ,182.79 ,181.29   ,501460  ,20171009,0        ,5.583807071489133 ,5.197508287233217 ,83
2017-10-10,188.79,192.94 ,187.29 ,1.823   ,191.5  ,185.41   ,1019231 ,20171010,1        ,6.135446371564202 ,6.057845004052037 ,84
2017-10-11,190.92,190.99 ,187.76 ,1.128   ,189.51 ,188.79   ,13237734,20171011,2        ,6.084937328191118 ,5.9941320487686385,85
2017-10-12,191.1 ,193.09 ,189.97 ,0.094   ,191.13 ,190.92   ,13207315,20171012,3        ,5.922629637595769 ,5.768246890443501 ,86
2017-10-13,194.6 ,195.0  ,191.69 ,1.832   ,193.51 ,191.1    ,15718233,20171013,4        ,5.755079694149974 ,5.543146540581157 ,87
2017-10-16,197.92,198.04 ,193.27 ,1.706   ,195.64 ,194.6    ,14415958,20171016,0        ,5.862822028761156 ,5.7293942166886795,88
2017-10-17,197.73,198.89 ,196.35 ,-0.096  ,197.27 ,197.92   ,11964867,20171017,1        ,5.719811290944321 ,5.53747449823452  ,89
2017-10-18,197.2 ,198.05 ,193.33 ,-0.268  ,198.05 ,197.73   ,14182907,20171018,2        ,5.62890380057213  ,5.428477657504679 ,90
2017-10-19,197.74,197.99 ,192.51 ,0.274   ,194.54 ,197.2    ,568765  ,20171019,3        ,5.615364985452214 ,5.435347316332902 ,91
2017-10-20,196.65,199.55 ,196.54 ,-0.551  ,199.02 ,197.74   ,455920  ,20171020,4        ,5.378480125238107 ,5.1119671371752355,92
2017-10-23,196.96,198.84 ,195.83 ,0.158   ,197.63 ,196.65   ,10717376,20171023,0        ,5.163136066748832 ,4.831704448887122 ,93
2017-10-24,198.68,198.75 ,195.94 ,0.873   ,196.99 ,196.96   ,10103775,20171024,1        ,4.94918960268035  ,4.562143519495907 ,94
2017-10-25,193.66,199.22 ,191.17 ,-2.527  ,197.08 ,198.68   ,20679872,20171025,2        ,5.231111409331636 ,5.027191552918072 ,95
2017-10-26,195.69,196.16 ,193.81 ,1.048   ,194.78 ,193.66   ,8068563 ,20171026,3        ,5.198279928364863 ,5.0062326595610935,96
2017-10-27,201.86,201.87 ,196.75 ,3.153   ,197.8  ,195.69   ,14304835,20171027,4        ,5.472096704499438 ,5.433401985107124 ,97
2017-10-30,203.84,206.09 ,201.22 ,0.981   ,201.86 ,201.86   ,12601417,20171030,0        ,5.920123675719006 ,6.095615519726637 ,98
2017-10-31,206.81,207.89 ,204.9  ,1.457   ,205.13 ,203.84   ,10297707,20171031,1        ,5.930113157365704 ,6.086866778427822 ,99
2017-11-01,207.2 ,209.97 ,204.6  ,0.189   ,209.35 ,206.81   ,12564446,20171101,2        ,5.948285887348056 ,6.092617877677013 ,100
2017-11-02,205.94,207.81 ,203.65 ,-0.608  ,206.0  ,207.2    ,8557738 ,20171102,3        ,5.785704692778582 ,5.834935375955104 ,101
2017-11-03,208.69,208.69 ,205.34 ,1.335   ,207.2  ,205.94   ,8841024 ,20171103,4        ,5.564264920605925 ,5.503610527632667 ,102
2017-11-06,209.63,209.98 ,206.7  ,0.45    ,207.2  ,208.69   ,9748616 ,20171106,0        ,5.425688514056644 ,5.3084623901415195,103
2017-11-07,212.03,212.9  ,210.056,1.145   ,210.55 ,209.63   ,10692542,20171107,1        ,5.315166396553732 ,5.162000694451576 ,104
2017-11-08,209.16,212.0  ,207.24 ,-1.354  ,211.85 ,212.03   ,13074705,20171108,2        ,5.264694656743864 ,5.108400588006827 ,105
2017-11-09,205.32,206.33 ,200.37 ,-1.836  ,205.27 ,209.16   ,24464067,20171109,3        ,5.846107702061882 ,5.981947371913713 ,106
2017-11-10,216.14,218.67 ,211.63 ,5.27    ,213.08 ,205.32   ,31331374,20171110,4        ,6.1792000960472055,6.452354480298008 ,107
2017-11-13,212.63,217.17 ,212.01 ,-1.624  ,216.14 ,216.14   ,14559413,20171113,0        ,6.694743225855554 ,7.172040670657359 ,108
2017-11-14,214.18,214.8  ,211.23 ,0.729   ,213.0  ,212.63   ,13232319,20171114,1        ,6.532489302272376 ,6.870435203931735 ,109
2017-11-15,209.98,212.0  ,207.8  ,-1.961  ,211.95 ,214.18   ,12548731,20171115,2        ,6.377713610980063 ,6.598377142365744 ,110
2017-11-16,211.61,214.2  ,211.25 ,0.776   ,212.98 ,209.98   ,11044183,20171116,3        ,6.066096077590315 ,6.111926803448172 ,111
2017-11-17,211.36,215.35 ,210.75 ,-0.118  ,213.92 ,211.61   ,12891568,20171117,4        ,6.002813285805698 ,6.013003220266789 ,112
2017-11-20,214.08,214.57 ,210.5  ,1.287   ,211.99 ,211.36   ,9902511 ,20171120,0        ,5.827099629415283 ,5.753936102922813 ,113
2017-11-21,216.05,216.52 ,214.4  ,0.92    ,215.69 ,214.08   ,9979358 ,20171121,1        ,5.766453155029689 ,5.674744616888032 ,114
2017-11-22,214.93,217.0  ,213.61 ,-0.518  ,217.0  ,216.05   ,8915998 ,20171122,2        ,5.550408547252    ,5.370111982482975 ,115
2017-11-24,216.96,217.0  ,214.6  ,0.944   ,215.59 ,214.93   ,4518800 ,20171124,4        ,5.264003658388557 ,4.974097030281797 ,116
2017-11-27,214.18,217.35 ,214.01 ,-1.281  ,217.35 ,216.96   ,347049  ,20171127,0        ,5.089091952024235 ,4.756217416133935 ,117
2017-11-28,210.71,214.73 ,208.24 ,-1.62   ,214.35 ,214.18   ,12818804,20171128,1        ,5.419178418340701 ,5.284721781903756 ,118
2017-11-29,196.42,210.12 ,191.23 ,-6.782  ,210.01 ,210.71   ,34919741,20171129,2        ,7.012906661859005 ,7.640092293077073 ,119
2017-11-30,200.71,202.68 ,196.65 ,2.184   ,199.2  ,196.42   ,20594199,20171130,3        ,7.653557792907646 ,8.496080013190035 ,120
2017-12-01,197.68,200.13 ,192.47 ,-1.51   ,199.31 ,200.71   ,20288748,20171201,4        ,7.6541434533186745,8.384602675179648 ,121
2017-12-04,186.66,200.3  ,184.5  ,-5.575  ,200.05 ,197.68   ,31021123,20171204,0        ,8.43195489731427  ,9.427989008828668 ,122
2017-12-05,187.74,192.7  ,180.58 ,0.579   ,182.4  ,186.66   ,24537194,20171205,1        ,9.219964803046238 ,10.450923827765939,123
2017-12-06,189.26,190.14 ,184.84 ,0.81    ,185.7  ,187.74   ,11675760,20171206,2        ,8.863601979656686 ,9.764133972359778 ,124
2017-12-07,191.99,193.6  ,190.12 ,1.442   ,191.96 ,189.26   ,13564988,20171207,3        ,8.59054559168604  ,9.243582768356886 ,125
2017-12-08,191.49,194.78 ,191.15 ,-0.26   ,194.01 ,191.99   ,11671856,20171208,4        ,8.311403538259263 ,8.747105059554297 ,126
2017-12-11,194.66,194.78 ,191.42 ,1.655   ,192.06 ,191.49   ,9318741 ,20171211,0        ,7.8612736788412025,8.028824376978823 ,127
2017-12-12,190.84,193.84 ,189.89 ,-1.962  ,192.9  ,194.66   ,11375445,20171212,1        ,7.5057017178372245,7.484981121486282 ,128
2017-12-13,186.18,192.55 ,185.88 ,-2.442  ,192.5  ,190.84   ,13856992,20171213,2        ,7.621547497976119 ,7.6576503067268735,129
