          ,close  ,high   ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2017-06-12,93.5   ,94.04  ,92.8   ,-1.121               ,93.69 ,94.56    ,15609884,20170612,0        ,0  ,1.7600000000000193,1.7600000000000193
2017-06-13,95.08  ,95.34  ,93.97  ,1.69                 ,94.0  ,93.5     ,8700026 ,20170613,1        ,1  ,1.5557142857142972,1.55107142857144
2017-06-14,95.32  ,96.0   ,94.95  ,0.252                ,95.32 ,95.08    ,6346561 ,20170614,2        ,2  ,1.900906344410873 ,1.9135653650254631
2017-06-15,94.17  ,94.53  ,93.53  ,-1.206               ,94.44 ,95.32    ,12793864,20170615,3        ,3  ,1.8002693385046296,1.80234046410442
2017-06-16,94.17  ,94.44  ,93.74  ,0.0                  ,94.31 ,94.17    ,14590100,20170616,4        ,4  ,1.7474452506920517,1.7443321772202864
2017-06-19,94.79  ,94.85  ,94.25  ,0.6579999999999999   ,94.75 ,94.17    ,5984192 ,20170619,0        ,5  ,1.5246331527902506,1.4980646867614795
2017-06-20,94.38  ,94.955 ,94.33  ,-0.433               ,94.79 ,94.79    ,5626703 ,20170620,1        ,6  ,1.3865197733866006,1.3478068385138438
2017-06-21,94.54  ,94.77  ,94.07  ,0.17                 ,94.61 ,94.38    ,5610872 ,20170621,2        ,7  ,1.272942369644209 ,1.2250170654614578
2017-06-22,93.96  ,94.48  ,93.88  ,-0.613               ,94.48 ,94.54    ,5846460 ,20170622,3        ,8  ,1.1667150279796772,1.1099368949788246
2017-06-23,95.58  ,95.65  ,93.89  ,1.724                ,94.16 ,93.96    ,11637113,20170623,4        ,9  ,1.2544917525699573,1.22384332594288
2017-06-26,95.22  ,96.265 ,95.099 ,-0.377               ,95.8  ,95.58    ,6970841 ,20170626,0        ,10 ,1.4015277075673203,1.405670738065135
2017-06-27,94.9   ,95.34  ,94.63  ,-0.336               ,95.15 ,95.22    ,6283594 ,20170627,1        ,11 ,1.3412843410016726,1.3316170916401535
2017-06-28,96.23  ,96.4   ,94.66  ,1.401                ,95.15 ,94.9     ,5571267 ,20170628,2        ,12 ,1.3923121608895752,1.3961038477796408
2017-06-29,94.42  ,95.79  ,94.01  ,-1.881               ,95.79 ,96.23    ,8870532 ,20170629,3        ,13 ,1.440155033572927 ,1.45526999612109
2017-06-30,93.78  ,94.62  ,93.78  ,-0.6779999999999999  ,94.38 ,94.42    ,9036622 ,20170630,4        ,14 ,1.5608533352155387,1.6054560776927762
2017-07-03,93.35  ,94.41  ,93.35  ,-0.459               ,94.38 ,93.78    ,6197656 ,20170703,0        ,15 ,1.5038176856081054,1.5260140066016894
2017-07-05,94.01  ,94.4   ,93.72  ,0.7070000000000001   ,93.75 ,93.35    ,9338609 ,20170705,2        ,16 ,1.4104535777229459,1.4023551113094743
2017-07-06,93.25  ,93.97  ,93.19  ,-0.8079999999999999  ,93.45 ,94.01    ,8215275 ,20170706,3        ,17 ,1.3405705369660592,1.3125402588297876
2017-07-07,93.92  ,94.41  ,93.5   ,0.718                ,93.5  ,93.25    ,6175718 ,20170707,4        ,18 ,1.293776574012962 ,1.2550788636946864
2017-07-10,95.09  ,95.37  ,94.15  ,1.246                ,94.15 ,93.92    ,8851817 ,20170710,0        ,19 ,1.3820019318263457,1.3773923077421353
2017-07-11,95.41  ,95.63  ,94.93  ,0.337                ,95.08 ,95.09    ,5554106 ,20170711,1        ,20 ,1.4164788195453406,1.4240511488329741
2017-07-12,96.18  ,96.45  ,95.63  ,0.807                ,95.98 ,95.41    ,5974757 ,20170712,2        ,21 ,1.410625300111125 ,1.4151279351799713
2017-07-13,95.94  ,96.65  ,95.77  ,-0.25                ,96.42 ,96.18    ,6721436 ,20170713,3        ,22 ,1.3931638461850593,1.390875228442405
2017-07-14,96.93  ,97.37  ,96.12  ,1.032                ,96.14 ,95.94    ,6195768 ,20170714,4        ,23 ,1.3786782970378761,1.3714660326301626
2017-07-17,96.83  ,97.29  ,96.59  ,-0.103               ,97.11 ,96.93    ,5914249 ,20170717,0        ,24 ,1.3758060854939147,1.3685216134910416
2017-07-18,97.58  ,97.75  ,96.61  ,0.775                ,96.85 ,96.83    ,7434865 ,20170718,1        ,25 ,1.3524057531475768,1.3372958104048729
2017-07-19,98.25  ,98.33  ,97.55  ,0.687                ,97.64 ,97.58    ,6385870 ,20170719,2        ,26 ,1.3669313942182755,1.359454813484556
2017-07-20,98.11  ,99.138 ,97.93  ,-0.142               ,99.11 ,98.25    ,8570406 ,20170720,3        ,27 ,1.385595499012934 ,1.386417994547425
2017-07-21,99.6   ,100.49 ,99.09  ,1.519                ,99.6  ,98.11    ,17399054,20170721,4        ,28 ,1.468494542119862 ,1.5020519684288878
2017-07-24,100.37 ,100.42 ,99.14  ,0.773                ,99.55 ,99.6     ,9185701 ,20170724,0        ,29 ,1.5496456933675082,1.6112706854524463
2017-07-25,99.99  ,100.85 ,99.8   ,-0.379               ,100.65,100.37   ,6773844 ,20170725,1        ,30 ,1.5209079786469932,1.5625240161802219
2017-07-26,100.85 ,100.985,99.86  ,0.86                 ,100.01,99.99    ,7205220 ,20170726,2        ,31 ,1.483126942120791 ,1.5035825749081138
2017-07-27,99.57  ,101.18 ,98.55  ,-1.269               ,100.97,100.85   ,10543634,20170727,3        ,32 ,1.592079263629313 ,1.6551194015838635
2017-07-28,99.15  ,99.59  ,98.51  ,-0.422               ,99.12 ,99.57    ,6558840 ,20170728,4        ,33 ,1.662841884659273 ,1.7471462054368456
2017-07-31,99.56  ,100.0  ,99.14  ,0.414                ,99.5  ,99.15    ,7576607 ,20170731,0        ,34 ,1.5871633044063431,1.6280644931466266
2017-08-01,100.87 ,101.065,99.96  ,1.3159999999999998   ,100.36,99.56    ,6017967 ,20170801,1        ,35 ,1.61796298491065  ,1.6665453633202725
2017-08-02,100.63 ,101.18 ,100.24 ,-0.238               ,101.03,100.87   ,155205  ,20170802,2        ,36 ,1.618153779041033 ,1.6603080161003172
2017-08-03,100.59 ,101.095,100.33 ,-0.04                ,100.94,100.63   ,5696416 ,20170803,3        ,37 ,1.5384638451115629,1.540412198887574
2017-08-04,100.89 ,101.34 ,100.61 ,0.298                ,100.96,100.59   ,4617431 ,20170804,4        ,38 ,1.463136340538024 ,1.4319484339292219
2017-08-07,101.49 ,101.535,100.59 ,0.595                ,100.92,100.89   ,7046512 ,20170807,0        ,39 ,1.4149687780196392,1.366809198235579
2017-08-08,101.28 ,101.715,100.93 ,-0.207               ,101.5 ,101.49   ,6282575 ,20170808,1        ,40 ,1.3602358712518567,1.294362878182842
2017-08-09,100.97 ,101.3  ,100.6  ,-0.306               ,100.76,101.28   ,6901379 ,20170809,2        ,41 ,1.31669203339515  ,1.2403152212660558
2017-08-10,99.49  ,100.88 ,99.43  ,-1.466               ,100.54,100.97   ,8559949 ,20170810,3        ,42 ,1.3659929837445046,1.321779749293747
2017-08-11,100.09 ,100.3  ,99.53  ,0.603                ,99.55 ,99.49    ,5268177 ,20170811,4        ,43 ,1.3728239818151173,1.33757155145232
2017-08-14,101.87 ,102.11 ,100.75 ,1.778                ,100.98,100.09   ,5657354 ,20170814,0        ,44 ,1.487780735914679 ,1.5088355445945796
2017-08-15,102.63 ,102.78 ,101.97 ,0.746                ,102.36,101.87   ,5385816 ,20170815,1        ,45 ,1.598453710838793 ,1.6665424352422256
2017-08-16,103.32 ,103.93 ,102.64 ,0.672                ,102.76,102.63   ,13408135,20170816,2        ,46 ,1.6408936566424106,1.7190664534190156
2017-08-17,102.16 ,103.53 ,102.16 ,-1.123               ,103.33,103.32   ,7381256 ,20170817,3        ,47 ,1.6160104785433633,1.6724758201925505
2017-08-18,102.51 ,103.09 ,101.94 ,0.343                ,102.08,102.16   ,5669823 ,20170818,4        ,48 ,1.5943520320481548,1.6334438741340092
2017-08-21,103.22 ,103.35 ,102.33 ,0.693                ,102.62,102.51   ,5394932 ,20170821,0        ,49 ,1.557276930251565 ,1.5742718158060378
2017-08-22,104.07 ,104.2  ,103.14 ,0.823                ,103.44,103.22   ,5479144 ,20170822,1        ,50 ,1.5694368318150769,1.5897126906628447
2017-08-23,103.18 ,103.97 ,102.99 ,-0.855               ,103.77,104.07   ,5057189 ,20170823,2        ,51 ,1.5154717443235417,1.508369953239936
2017-08-24,103.22 ,103.5  ,102.64 ,0.039                ,103.32,103.18   ,4082193 ,20170824,3        ,52 ,1.5076515355235212,1.4979153115472486
2017-08-25,103.35 ,103.88 ,103.155,0.126                ,103.65,103.22   ,4467738 ,20170825,4        ,53 ,1.4360850014283313,1.3948145137530108
2017-08-28,103.78 ,103.83 ,103.26 ,0.416                ,103.65,103.35   ,3919461 ,20170828,0        ,54 ,1.360587029728344 ,1.2901326083466926
2017-08-29,103.77 ,104.07 ,102.64 ,-0.01                ,102.92,103.78   ,7135312 ,20170829,1        ,55 ,1.3669277892961764,1.3087877671832746
2017-08-30,103.73 ,104.0  ,103.52 ,-0.039               ,103.7 ,103.77   ,8712708 ,20170830,2        ,56 ,1.285943980583944 ,1.198251030340381
2017-08-31,103.52 ,104.19 ,103.025,-0.202               ,104.06,103.73   ,13765793,20170831,3        ,57 ,1.274905205529897 ,1.193816457395831
2017-09-01,103.9  ,104.08 ,103.44 ,0.3670000000000001   ,104.04,103.52   ,4466772 ,20170901,4        ,58 ,1.2169772744007825,1.1199583530222004
2017-09-05,103.01 ,103.46 ,102.26 ,-0.857               ,103.4 ,103.9    ,6337188 ,20170905,1        ,59 ,1.2209013188961624,1.1386340592232802
2017-09-06,103.18 ,103.745,103.1  ,0.165                ,103.34,103.01   ,6372221 ,20170906,2        ,60 ,1.1825229764058849,1.0934755446931437
2017-09-07,104.56 ,105.44 ,103.61 ,1.337                ,103.71,103.18   ,6508516 ,20170907,3        ,61 ,1.2962386338850134,1.2717037977068417
2017-09-08,104.43 ,104.77 ,104.06 ,-0.124               ,104.33,104.56   ,5787178 ,20170908,4        ,62 ,1.3230102721990717,1.3141484496251958
2017-09-11,106.14 ,106.15 ,105.16 ,1.6369999999999998   ,105.5 ,104.43   ,6954342 ,20170911,0        ,63 ,1.347336634550843 ,1.3509325306474713
2017-09-12,106.19 ,106.62 ,105.765,0.047                ,106.6 ,106.14   ,5212136 ,20170912,1        ,64 ,1.424098934366075 ,1.462818406415821
2017-09-13,105.83 ,106.26 ,105.24 ,-0.339               ,106.26,106.19   ,6215611 ,20170913,2        ,65 ,1.3872944363003517,1.403771280936131
2017-09-14,106.1  ,106.83 ,105.57 ,0.255                ,105.58,105.83   ,8153921 ,20170914,3        ,66 ,1.3757026786502402,1.384600462401164
2017-09-15,105.23 ,106.13 ,104.97 ,-0.82                ,105.74,106.1    ,12622407,20170915,4        ,67 ,1.3560632539515096,1.3546519545009486
2017-09-18,104.85 ,105.51 ,104.62 ,-0.361               ,105.37,105.23   ,7330304 ,20170918,0        ,68 ,1.3673459459761854,1.3713658879763715
2017-09-19,105.42 ,105.92 ,104.83 ,0.544                ,105.08,104.85   ,9754351 ,20170919,1        ,69 ,1.3421007119286688,1.3338487617811219
2017-09-20,104.97 ,105.77 ,104.46 ,-0.4270000000000001  ,105.5 ,105.42   ,7391189 ,20170920,2        ,70 ,1.339179102276043 ,1.330668803872758
2017-09-21,105.33 ,105.61 ,104.65 ,0.343                ,104.95,104.97   ,4777363 ,20170921,3        ,71 ,1.3046721643305272,1.2812446398135724
2017-09-22,105.56 ,105.68 ,105.06 ,0.218                ,105.21,105.33   ,4955919 ,20170922,4        ,72 ,1.2505595792258652,1.2050764748644853
2017-09-25,103.02 ,105.65 ,102.75 ,-2.406               ,105.5 ,105.56   ,9393018 ,20170925,0        ,73 ,1.400638504297484 ,1.431071968771612
2017-09-26,103.06 ,104.02 ,102.89 ,0.039                ,103.1 ,103.02   ,551745  ,20170926,1        ,74 ,1.5161258032772398,1.596265977902348
2017-09-27,103.92 ,104.11 ,102.91 ,0.8340000000000001   ,103.09,103.06   ,590343  ,20170927,2        ,75 ,1.4873665381201395,1.5434295148890833
2017-09-28,104.55 ,104.96 ,103.75 ,0.606                ,103.89,103.92   ,485441  ,20170928,3        ,76 ,1.524903061326427 ,1.5909730255331676
2017-09-29,105.22 ,105.41 ,104.7  ,0.6409999999999999   ,104.86,104.55   ,457266  ,20170929,4        ,77 ,1.521728180333603 ,1.577509764206743
2017-10-02,105.51 ,105.98 ,105.12 ,0.276                ,105.55,105.22   ,328558  ,20171002,0        ,78 ,1.5133847744027396,1.557841553498213
2017-10-03,105.59 ,105.87 ,105.31 ,0.076                ,105.63,105.51   ,293117  ,20171003,1        ,79 ,1.4348569132663938,1.436794721453043
2017-10-04,105.31 ,105.64 ,104.9  ,-0.265               ,105.61,105.59   ,286193  ,20171004,2        ,80 ,1.3716600558680396,1.3438878994462695
2017-10-05,106.24 ,106.25 ,105.16 ,0.883                ,105.52,105.31   ,261748  ,20171005,3        ,81 ,1.3460442613110772,1.310035908216307
2017-10-06,106.71 ,106.96 ,105.88 ,0.442                ,106.3 ,106.24   ,290258  ,20171006,4        ,82 ,1.37368673993488  ,1.3553647686337247
2017-10-09,107.03 ,107.64 ,106.71 ,0.3                  ,106.82,106.71   ,308161  ,20171009,0        ,83 ,1.376079652373004 ,1.3613161686416158
2017-10-10,107.32 ,107.54 ,106.83 ,0.271                ,107.53,107.03   ,396500  ,20171010,1        ,84 ,1.3264209948310586,1.2904736432312431
2017-10-11,108.44 ,108.585,107.69 ,1.044                ,107.7 ,107.32   ,6473099 ,20171011,2        ,85 ,1.3472066322522567,1.3257439836076634
2017-10-12,108.11 ,108.71 ,107.9  ,-0.304               ,108.58,108.44   ,6496053 ,20171012,3        ,86 ,1.3510979132413576,1.3343114860326755
2017-10-13,108.7  ,109.25 ,108.4  ,0.546                ,108.6 ,108.11   ,5154563 ,20171013,4        ,87 ,1.3055331804750143,1.2697364019229882
2017-10-16,108.28 ,108.89 ,107.18 ,-0.386               ,108.8 ,108.7    ,5552165 ,20171016,0        ,88 ,1.342310505661556 ,1.328438387778181
2017-10-17,107.54 ,108.37 ,107.3  ,-0.6829999999999999  ,108.27,108.28   ,5979405 ,20171017,1        ,89 ,1.3475559924354945,1.337979960413743
2017-10-18,107.8  ,108.0  ,107.49 ,0.242                ,107.65,107.54   ,4817276 ,20171018,2        ,90 ,1.2968604097056655,1.2649158041650128
2017-10-19,107.04 ,107.76 ,106.905,-0.705               ,107.28,107.8    ,10840248,20171019,3        ,91 ,1.2566850322281897,1.210260258890359
2017-10-20,107.53 ,107.7  ,106.97 ,0.458                ,107.54,107.04   ,7848922 ,20171020,4        ,92 ,1.2178899978360018,1.1595588068474307
2017-10-23,107.52 ,108.15 ,107.1  ,-0.009000000000000001,108.14,107.53   ,6316736 ,20171023,0        ,93 ,1.2080805551656433,1.1529509564249538
2017-10-24,108.41 ,108.64 ,107.18 ,0.828                ,107.56,107.52   ,10344093,20171024,1        ,94 ,1.230984999670151 ,1.1938908799633983
2017-10-25,109.49 ,110.61 ,108.0  ,0.996                ,109.41,108.41   ,13178855,20171025,2        ,95 ,1.4000043205347403,1.4467057025788628
2017-10-26,109.8  ,110.74 ,109.67 ,0.28300000000000003  ,110.38,109.49   ,7380110 ,20171026,3        ,96 ,1.48455754887515  ,1.5644783858993612
2017-10-27,109.71 ,110.13 ,108.69 ,-0.08199999999999999 ,110.07,109.8    ,7862681 ,20171027,4        ,97 ,1.4805065069139927,1.5478812543041542
2017-10-30,110.04 ,110.235,108.92 ,0.301                ,109.67,109.71   ,5148598 ,20171030,0        ,98 ,1.4654592597252112,1.5168303985479716
2017-10-31,109.98 ,110.69 ,108.66 ,-0.055               ,110.58,110.04   ,8002479 ,20171031,1        ,99 ,1.5167848696843682,1.5852530538011484
2017-11-01,111.07 ,111.4  ,110.42 ,0.991                ,110.5 ,109.98   ,6167261 ,20171101,2        ,100,1.5025307593860442,1.555219297420886
2017-11-02,110.98 ,111.37 ,110.2  ,-0.081               ,111.02,111.07   ,5506607 ,20171102,3        ,101,1.4923000767998686,1.5331900476742537
2017-11-03,111.36 ,111.42 ,110.505,0.342                ,110.94,110.98   ,3758386 ,20171103,4        ,102,1.4398153901870652,1.4507646752633576
2017-11-06,111.92 ,112.15 ,111.2  ,0.503                ,111.36,111.36   ,4094744 ,20171106,0        ,103,1.415285502568218 ,1.4133293723487421
2017-11-07,112.09 ,112.469,111.56 ,0.152                ,112.25,111.92   ,3697908 ,20171107,1        ,104,1.3874401113245947,1.3727521106031537
2017-11-08,112.47 ,112.905,111.82 ,0.339                ,112.01,112.09   ,4418427 ,20171108,2        ,105,1.3599444294865022,1.3343851526080417
2017-11-09,112.14 ,112.22 ,110.93 ,-0.293               ,111.8 ,112.47   ,4334707 ,20171109,3        ,106,1.3535856081999367,1.328467130934891
2017-11-10,111.88 ,111.98 ,111.28 ,-0.232               ,111.71,112.14   ,4198857 ,20171110,4        ,107,1.3387136858217807,1.310004843226706
2017-11-13,111.4  ,111.855,111.335,-0.429               ,111.55,111.88   ,7185634 ,20171113,0        ,108,1.2901927666092545,1.2426708528028787
2017-11-14,111.98 ,112.04 ,110.81 ,0.521                ,111.08,111.4    ,5679647 ,20171114,1        ,109,1.2847205438198972,1.2409814055161894
2017-11-15,110.25 ,111.87 ,110.14 ,-1.545               ,111.34,111.98   ,6895082 ,20171115,2        ,110,1.3252015239685269,1.306183893019167
2017-11-16,111.02 ,111.44 ,110.57 ,0.698                ,110.75,110.25   ,5655121 ,20171116,3        ,111,1.332910654583027 ,1.3200260421324008
2017-11-17,109.82 ,110.91 ,109.7  ,-1.081               ,110.69,111.02   ,8812373 ,20171117,4        ,112,1.3217367238391355,1.3053559017891518
2017-11-20,109.95 ,110.68 ,109.69 ,0.118                ,109.95,109.82   ,6873218 ,20171120,0        ,113,1.322487945117806 ,1.3086417818208673
2017-11-21,111.45 ,111.49 ,110.3  ,1.364                ,110.45,109.95   ,6456517 ,20171121,1        ,114,1.3540804989220518,1.3568228810126104
2017-11-22,110.82 ,111.66 ,110.7  ,-0.565               ,111.5 ,111.45   ,4067864 ,20171122,2        ,115,1.386437328194307 ,1.4039131664534614
2017-11-24,111.97 ,112.16 ,111.14 ,1.038                ,111.31,110.82   ,3045750 ,20171124,4        ,116,1.3531243655474614,1.3527247415189334
2017-11-27,112.35 ,112.53 ,111.92 ,0.339                ,112.15,111.97   ,313610  ,20171127,0        ,117,1.3855680284842673,1.4003614448602304
2017-11-28,113.36 ,113.615,112.56 ,0.899                ,112.6 ,112.35   ,6671272 ,20171128,1        ,118,1.4091530330053477,1.4329799201906492
2017-11-29,109.86 ,113.62 ,106.9  ,-3.088               ,113.62,113.36   ,14505432,20171129,2        ,119,1.891962510523386 ,2.1379159554016547
2017-11-30,112.59 ,112.59 ,110.03 ,2.485                ,110.5 ,109.86   ,18533344,20171130,3        ,120,2.0226944733224728,2.2968604994826256
2017-12-01,110.73 ,112.44 ,109.76 ,-1.652               ,112.38,112.59   ,13101791,20171201,4        ,121,2.0824500538877544,2.3479457675556428
2017-12-04,107.43 ,111.45 ,106.97 ,-2.98                ,111.33,110.73   ,18909077,20171204,0        ,122,2.404048109766728 ,2.7842196751133317
2017-12-05,108.58 ,109.24 ,106.6  ,1.07                 ,107.54,107.43   ,12081503,20171205,1        ,123,2.5609539830298065,2.963657055293249
2017-12-06,109.74 ,110.17 ,108.255,1.068                ,108.49,108.58   ,7532053 ,20171206,2        ,124,2.5772310026792074,2.933836114079282
2017-12-07,111.4  ,111.41 ,109.45 ,1.513                ,109.77,109.74   ,7384855 ,20171207,3        ,125,2.600210142347792 ,2.919991298664227
2017-12-08,112.6  ,112.61 ,111.815,1.077                ,112.13,111.4    ,7594900 ,20171208,4        ,126,2.6247366288010983,2.913325792090341
2017-12-11,112.37 ,113.35 ,112.155,-0.204               ,112.5 ,112.6    ,7538608 ,20171211,0        ,127,2.5633966266139114,2.784882351720073
2017-12-12,113.46 ,113.73 ,112.0  ,0.97                 ,112.37,112.37   ,8754436 ,20171212,1        ,128,2.4876329503408146,2.6442313701384625
